Verb,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
voelde,-3.479918934120545,14.802832198275013
wist,-3.2381511969415744,-1.8923800705222105
vertellen,-3.049108347727631,0.8557655526588654
was,-2.903776799768972,0.9659184739754884
verborgen,-2.8007113679746247,8.528298551740978
hoorde,-2.7717472296315204,-2.005338663256729
gefocust,-2.5896463147643014,6.3862518310315695
kiezen,-2.469920910285341,-1.1583271923094174
omringd,-2.459337860658548,-0.7783631258183815
genoot,-2.3872731516963555,0.8963940599432979
voelen,-2.379570775060518,-8.12347173691816
ontmoet,-2.164448909199599,-16.09698974972709
getalenteerde,-1.989010808378609,0.9252353239482632
woont,-1.9598642759410072,-2.669018209511393
lijkt,-1.9394866951572929,0.8963940599432979
bedankte,-1.9354513329721457,-0.8884148287110183
riskeren,-1.9319376715442529,0.2445713395295971
geschreven,-1.8750390941909063,-0.7783631258183815
begrijpen,-1.8309983682224784,0.4049359966114505
stellen,-1.7916203618202733,-0.8477890470285586
stond,-1.7235281797708473,0.9252353239482632
legde,-1.7096980607160348,0.8977216210103443
onthuld,-1.7096980607160348,-0.8884148287110183
gedaan,-1.6815089147914088,4.93495405184599
vechten,-1.6756984217150563,2.2188032875821806
groeide,-1.6671339195855155,9.042660517741371
hadden,-1.6658785000073422,6.396684365365009
raakten,-1.64634567162508,-2.669018209511393
twijfelt,-1.5770543702635011,-0.9579315788265742
leidt,-1.569459651235091,-1.9080038455130808
staarde,-1.4988497941603642,0.9659184739754884
gebruiken,-1.4974003899047184,-3.5978841744819
helpen,-1.4818929159673917,-3.807471267945744
kreeg,-1.4625417229259878,0.9665855950390412
gaf,-1.4278222571412942,0.786336378064712
dwingt,-1.4278222571412942,-0.9579315788265742
bleef,-1.4067014342457236,13.147500160254936
helpt,-1.3990015528073203,8.493384214622916
samenwerkten,-1.3990015528073203,0.786336378064712
beleven,-1.3990015528073203,0.8963940599432979
schetsen,-1.345022391770813,-0.8884148287110183
verrast,-1.3444179105955325,2.4427151722270053
neemt,-1.330951622984194,-0.9172534968516328
denken,-1.3250525455117743,0.1410482753568983
herstellen,-1.30388500204644,0.8977216210103443
stelt,-1.266073465257385,0.9252353239482632
brengt,-1.2457633645776391,-0.7783631258183815
vroeg,-1.2387054834470506,7.106413513056446
leiden,-1.218872028194792,4.93495405184599
liet,-1.2042072545327065,0.786336378064712
hebt,-1.147237104845377,0.8963940599432979
zei,-1.1215525755681064,0.2445713395295971
werkten,-1.1215525755681064,8.643543189149689
luisterde,-1.0815193697787924,-0.8884148287110183
gehad,-1.0641142520674804,9.305427085675516
verstoord,-1.052696547020265,-0.8884148287110183
denk,-1.052696547020265,-0.7783631258183815
verwerken,-1.052696547020265,-0.7783631258183815
ontrafelen,-1.0369238436012125,-0.8477890470285586
vervuld,-1.0320912331878849,-0.7783631258183815
bleek,-1.0050790017859408,0.1410482753568983
bracht,-1.002913924179705,0.786336378064712
ontsnappen,-0.9945211460085558,-0.9579315788265742
hebben,-0.9944471032079464,-2.6340044301684893
groeien,-0.9940690168679548,-0.7783631258183815
ontdekten,-0.9867950840185308,10.728180439083095
had,-0.9852602140851032,4.413300267244625
heeft,-0.974386023232876,-6.16434171765229
ontdekte,-0.9723984253745004,14.26056871671164
creëerden,-0.9642415607060748,0.9252353239482632
deelt,-0.9363217409198488,0.786336378064712
uitdaagt,-0.9363217409198488,-0.7783631258183815
wachtte,-0.9363217409198488,0.9252353239482632
zetten,-0.8841502350335813,0.8963940599432979
ingehuurd,-0.8704121386104189,0.8963940599432979
nemen,-0.8653332887031011,-8.42794491926984
vond,-0.8653332887031011,1.0646480632210324
klopt,-0.8611984482944668,-0.9172534968516328
roepen,-0.8611984482944668,0.8977216210103443
deelden,-0.8609782336552345,-0.7783631258183815
ontmoette,-0.8524798315606972,10.01153347376168
verbonden,-0.8435095072369,0.786336378064712
willen,-0.81139434917366,5.00065054362242
gemaakt,-0.7768248347286085,0.981399761189778
zat,-0.7470511691083765,2.1487887907282315
staat,-0.7404357405398102,-0.8477890470285586
bevat,-0.7338193289586811,3.085889199271628
merkt,-0.7203036979977819,0.786336378064712
worstelt,-0.7177844433829489,-0.8884148287110183
bouwen,-0.7027283352593131,-1.3697878086916913
blijft,-0.6946257995518834,-6.296920253351169
werkte,-0.6926030519053775,19.22021311353613
geloven,-0.6926030519053775,0.786336378064712
geworden,-0.6906529643502325,3.085889199271628
wandelt,-0.6906529643502325,-0.8550814171867122
overwinnen,-0.6885599511727729,-0.7783631258183815
voldaan,-0.6613644041229012,0.7902647111731144
stopt,-0.6613644041229012,-0.8884148287110183
bedoeld,-0.6613644041229012,0.786336378064712
vecht,-0.6613644041229012,-0.7783631258183815
wonen,-0.6613644041229012,2.9948447158792657
overtuigd,-0.6613644041229012,0.9252353239482632
drinken,-0.6613644041229012,-0.7783631258183815
snijden,-0.5816045713446292,0.8963940599432979
hopen,-0.5816045713446292,0.786336378064712
gedroomd,-0.5816045713446292,0.786336378064712
betekent,-0.5816045713446292,-0.7783631258183815
verenigen,-0.5733660649114135,-0.7783631258183815
ontkennen,-0.5733660649114135,-0.7783631258183815
loslaten,-0.5733660649114135,0.786336378064712
geniet,-0.5733660649114135,2.1487887907282315
geopend,-0.5733660649114135,-0.7783631258183815
gepland,-0.5733660649114135,0.8963940599432979
overbrengen,-0.5733660649114135,-0.7783631258183815
leren,-0.5692144927842876,-2.669018209511393
wilden,-0.5408391800919206,-0.8884148287110183
focussen,-0.5408391800919206,0.8963940599432979
richten,-0.5408391800919206,0.8963940599432979
