Verb,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
talenteren,-5.112413292612489,-10.530616984907088
specialiseren,-3.6298489014891646,-8.377826275186138
doorbrengen,-2.567950524744805,1.0194222216075346
leiden,-2.460346489518619,-0.5925926643450725
brengen,-2.4435010467183687,1.1846816254737154
stellen,-2.3697593932942667,2.3672877212098085
ontdekken,-2.3383452578373585,2.7869905309044447
bloeien,-2.082935331507268,0.3883277328000763
zetten,-2.0099300174734203,0.3188852749326535
leven,-1.9402730369901384,1.9953177490265144
krijgen,-1.7105085005182614,0.7508657497555441
zorgen,-1.666531213258843,0.428975126884399
blijken,-1.5281705438741713,-1.6957239700971087
vertellen,-1.3796258242972277,-2.2771802648289943
luistren,-1.3707719703645227,0.3883277328000763
geven,-1.3633263864340703,1.292960173065987
kijken,-1.2414886996091057,-0.5486917693040919
wijden,-1.0109939468713458,0.428975126884399
dobrenorn,-0.9745851417774944,-0.6698476313465431
overwinnen,-0.9608371836650164,0.428975126884399
aarzelen,-0.9608371836650164,0.3188852749326535
bedanken,-0.9608371836650164,-0.5996743830236809
dwalen,-0.9608371836650164,0.3188852749326535
glimlachte,-0.9608371836650164,0.3188852749326535
komen,-0.9453287345490462,-2.712977537504651
ontstaan,-0.9070002325009632,-1.721650747198488
vullen,-0.8402289366280609,0.428975126884399
fotograferen,-0.6181493733408663,0.1149296248962015
keek,-0.5932658445742964,0.5592321492479714
stoppen,-0.5932658445742964,0.8465307672154654
confronteren,-0.5932658445742964,0.3188852749326535
verlaten,-0.5773037890991428,0.3883277328000763
dragen,-0.5773037890991428,0.3188852749326535
stemde,-0.5773037890991428,3.5378805280768946
afronden,-0.5773037890991428,-3.546165851636061
afwenden,-0.5773037890991428,-0.5996743830236809
fluisteren,-0.5773037890991428,0.5273034662881103
heten,-0.5773037890991428,5.524578276948276
beleven,-0.5773037890991428,0.5139167119441359
struikelen,-0.5073574692512777,0.3188852749326535
teruggekeerd,-0.5073574692512777,-2.17774388671842
terugkomen,-0.5073574692512777,-1.0027724613664972
toegeven,-0.5073574692512777,0.428975126884399
glimlachen,-0.5073574692512777,-1.0027724613664972
focusten,-0.5073574692512777,0.7329966315146935
overhandigen,-0.5073574692512777,0.3883277328000763
meegesleept,-0.5073574692512777,-0.7107703743777766
merken,-0.5073574692512777,-1.0027724613664972
luisteren,-0.5073574692512777,-0.5925926643450725
rennen,-0.5073574692512777,0.3188852749326535
prijzen,-0.5073574692512777,0.3188852749326535
