Adjective,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
genaamd,-4.109850370068257,2.5441423895424093
talentvol,-3.192750928807343,-0.7824070909779849
bekwaam,-2.115347925236648,-0.0030485583457756
ander,-1.867042712888333,0.7806551278364509
wennen,-1.8621982507530832,0.369015218700448
prachtig,-1.6027209451010485,-0.6191446755787076
mysterieus,-1.490957953926643,-0.6191446755787076
zorgvuldig,-1.490957953926643,0.369015218700448
echt,-1.2027263069216514,0.5081217004946945
stil,-1.040710151043817,0.4609278646044638
ambitieus,-0.9389219639888418,-2.2818501436010465
bezig,-0.6553261321357092,2.727375505650755
eenvoudig,-0.6136912385629961,0.369015218700448
journalistiek,-0.6013307086852813,0.4096744201789886
focusten,-0.6013307086852813,0.369015218700448
nodig,-0.6013307086852813,0.3132683497167618
groot,-0.6013307086852813,-1.1068558725163449
terecht,-0.6013307086852813,-1.1416211497004811
geweldig,-0.5435268477018048,-0.9870206492783302
opgewonden,-0.5435268477018048,0.2995923148350006
vast,-0.5435268477018048,0.4947088395093488
uurlang,-0.5435268477018048,0.4096744201789886
hoog,-0.5435268477018048,0.4096744201789886
vroeg,-0.5435268477018048,0.2995923148350006
creatief,-0.5435268477018048,-1.1416211497004811
zwak,-0.5435268477018048,0.2995923148350006
donker,-0.5435268477018048,0.6268545762520338
oud,-0.4859472276188026,-3.3282044429614106
vol,-0.4859472276188026,-1.3216905894460542
charmant,-0.4859472276188026,-2.181854681673177
trouw,-0.1288909138208971,0.369015218700448
sterk,-0.1288909138208971,-2.8669284040118983
gewoon,-0.1288909138208971,0.4609278646044638
nieuw,-0.1288909138208971,-2.9487833965602985
eigen,0.0004105607883424,0.4609278646044638
bereid,0.0819823607316804,1.1952089059103097
verliefd,0.1988550474207066,3.3427416496056965
bescheiden,0.2151452993993258,-0.6191446755787076
wanhopig,0.2151452993993258,0.2995923148350006
levendig,0.2151452993993258,0.2995923148350006
freelance,0.2151452993993258,-1.974905471689864
recentelijk,0.3752263148415671,-0.7306060682289768
verschillend,0.3752263148415671,-1.1416211497004811
vragen,0.3752263148415671,-0.6895160937139109
wakker,0.3752263148415671,0.4609278646044638
serieus,0.3752263148415671,0.4096744201789886
spoedig,0.3752263148415671,0.369015218700448
tevreden,0.3752263148415671,2.3654384964205213
geheim,0.3752263148415671,0.4096744201789886
gelukkig,0.3752263148415671,0.7549657082401415
eerlijk,0.3752263148415671,0.438534865246536
duidelijk,0.3752263148415671,0.4096744201789886
dood,0.3752263148415671,0.5199566675931353
aandachtig,0.3752263148415671,0.2995923148350006
leeg,0.3752263148415671,0.4609278646044638
ingewikkeld,0.3752263148415671,-1.1416211497004811
machtig,0.3752263148415671,0.4947088395093488
intens,0.3752263148415671,0.2995923148350006
zoek,0.3798592201321351,-3.860107947211163
complex,0.4448724572436983,0.2995923148350006
voorbij,0.4448724572436983,0.4096744201789886
waar,0.4448724572436983,0.369015218700448
speciaal,0.4448724572436983,-0.7306060682289768
knapp,0.4448724572436983,-0.6191446755787076
belangrijk,0.4448724572436983,0.4792298653896731
hetzelfde,0.4805935394383343,0.4947088395093488
goed,0.4805935394383343,-1.1929970260998426
vreemds,0.485632300024986,0.369015218700448
constant,0.485632300024986,0.6730619529103378
open,0.485632300024986,0.2995923148350006
normaal,0.485632300024986,-0.7306060682289768
enthousiast,0.485632300024986,-1.6121664909142852
gevaarlijk,0.485632300024986,0.5081217004946945
vaak,0.485632300024986,-0.4466885371006432
klein,0.485632300024986,-0.7674361501758085
perfect,0.485632300024986,0.4792298653896731
verkeerd,0.485632300024986,0.4609278646044638
trots,0.5073809113523624,2.9655141313267057
precies,0.5145623717245648,-0.1346300509461825
vertrouwd,0.5145623717245648,-0.7306060682289768
bewust,0.5145623717245648,0.369015218700448
veilig,0.5145623717245648,0.2995923148350006
hard,0.5145623717245648,1.753437121869196
duister,0.5145623717245648,0.2995923148350006
voormalig,0.5145623717245648,0.530547078740702
dagelijks,0.5145623717245648,0.369015218700448
dichter,0.5370125549574942,-0.4466885371006432
dicht,0.5553655235459611,-0.4466885371006432
eerder,0.5708919268968524,3.938939680498352
druk,0.6068619609792038,-1.1416211497004811
jaarlang,0.6164876228996248,-0.0030485583457756
eenzaam,0.6718539284307654,0.8707201692105856
klaar,0.69540326024108,0.7362990966217003
zeker,0.8909563075065731,0.4424494871524547
uiteindelijk,1.0297834988285504,2.5941119451088994
vastbesloten,1.0992590401714135,0.6510054574672945
langzaam,1.2194609405452783,0.369015218700448
ver,1.6643969745007523,0.6144597361552356
laat,1.741353385945496,0.5951717842465478
lang,1.741353385945496,0.5643972319295121
eindelijk,2.05980353874788,0.3483968251405088
nieuwsgierig,2.05980353874788,-0.759766475018918
plotseling,2.347466254344285,0.6679736457725349
bekend,2.7019626346885746,-4.621093808267944
snel,3.182372498153913,0.3883705390391996
diep,3.6136926153386586,0.5569373072567317
