Adjectives,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
jong,-4.420943114676554,-0.8620073575085654
vastbesloten,-2.9047252872875906,-1.2141047576277206
eenzaam,-1.852030649300504,0.2443825573777981
waar,-1.5734892437987642,0.2443825573777981
perfect,-1.2785593745062271,0.701397668301871
bang,-1.112357989950487,0.2443825573777981
mysterieuz,-1.112357989950487,0.405841336324505
goed,-0.7182198986289426,-1.5127549216994427
mysterieus,-0.7182198986289426,-0.6753305062723225
romantisch,-0.6858083467028222,-1.5422651111192929
geheimzinnig,-0.6151171790597771,-0.746745117741903
freelance,-0.6151171790597771,0.2443825573777981
maandenlang,-0.6151171790597771,-0.6753305062723225
nieuw,-0.6151171790597771,-2.3527682887787864
ver,-0.4096491464081729,0.610300413723768
bezig,-0.1644521742624345,0.6158328518284074
klaar,-0.1089153794580883,0.3833766740617469
zeker,0.2081113730671251,0.2443825573777981
zoet,0.304016336530198,-0.6753305062723225
wekenlang,0.304016336530198,0.2443825573777981
mooi,0.304016336530198,0.6285681999624699
trouw,0.304016336530198,0.2443825573777981
tevreden,0.304016336530198,0.2443825573777981
succesvol,0.304016336530198,-0.9354882678600184
direct,0.304016336530198,-2.3527682887787864
eigen,0.304016336530198,0.2443825573777981
echt,0.304016336530198,0.2443825573777981
dicht,0.304016336530198,0.2443825573777981
dankbaar,0.304016336530198,0.6309504279825949
belangrijk,0.304016336530198,-0.746745117741903
hard,0.304016336530198,0.2443825573777981
genaamd,0.304016336530198,-1.5422651111192929
gelukkig,0.304016336530198,0.4242197258658188
geducht,0.304016336530198,-0.746745117741903
uurlang,0.3735205149808157,0.6044758673689535
trots,0.3735205149808157,0.610300413723768
eerder,0.3735205149808157,0.3137551260812815
lang,0.4142540385017392,0.6785603687607686
oud,0.4142540385017392,-0.6753305062723225
vol,0.465652159202217,0.3544538461068539
jaarlang,0.5697678372737632,-2.185607955774356
laat,0.5833615029491512,0.6044758673689535
snel,0.6059883535174969,0.4397778565485036
uiteindelijk,0.644372110080798,1.094940495454497
plotseling,0.6854200757544694,-0.6753305062723225
zoek,1.4651121498178867,-1.5422651111192929
dichter,1.9104662661058227,0.3137551260812815
eindelijk,1.9890001989754216,0.4651888126633969
diep,2.764010919131815,0.2443825573777981
