Adjectives,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
genaamd,-4.976738403665766,-8.717887235409558
succesvol,-4.035096501433841,-8.716469400792809
ander,-2.10525499268513,-2.6579732652442574
mysterieus,-1.8563085809664155,-0.6159875711550542
perfect,-1.8033511507627076,0.4831555654120852
kort,-1.5252513018683556,0.4424218992185776
freelance,-1.3482083273419416,-0.6159875711550542
professioneel,-1.214265465208355,0.3728057878990625
vastbesloten,-1.1472217001698668,2.9569188258276364
eenvoudig,-1.0716790280793471,0.3728057878990625
gewoon,-1.0716790280793471,0.5344857332512001
mysterieuz,-1.0716790280793471,0.3728057878990625
groot,-1.0716790280793471,-0.5120152584344967
ambitieus,-1.0094398112058889,-5.873107507760103
journalistiek,-0.609380897228662,-3.926192509682778
bekwaam,-0.609380897228662,0.5344857332512001
vrouwelijk,-0.609380897228662,-0.6159875711550542
eigen,-0.506163688087399,-0.6182395981545993
precies,-0.3605717350496264,0.5344857332512001
trots,-0.1141249324439332,0.5817493075278956
goed,-0.1141249324439332,3.277438404098162
uiteindelijk,0.2594575469509686,0.6791126283633439
bereid,0.2594575469509686,0.6516104259321424
duister,0.2594575469509686,0.4424218992185776
terecht,0.2594575469509686,0.4831555654120852
normaal,0.3095023966001389,0.9347179546966254
wantrouwig,0.3095023966001389,-0.5458705510586807
mogelijk,0.3095023966001389,0.3728057878990625
werkelijk,0.3095023966001389,-0.8729327336613946
machtig,0.3095023966001389,0.5683157923877695
waard,0.3095023966001389,0.4424218992185776
vreemd,0.3095023966001389,0.3728057878990625
spoedig,0.3095023966001389,3.415607623061228
sterk,0.3095023966001389,-2.071152826782578
oud,0.3095023966001389,-0.6569416445233306
sinist,0.3095023966001389,0.3728057878990625
onderzoeken,0.3095023966001389,0.7612079179326954
onbewust,0.3095023966001389,-0.5458705510586807
charmant,0.3095023966001389,0.3728057878990625
constant,0.3095023966001389,0.5344857332512001
focusten,0.3095023966001389,0.8310091161936248
crime,0.3095023966001389,0.3728057878990625
erg,0.3095023966001389,0.2783104808737199
eerlijk,0.3095023966001389,0.3728057878990625
dood,0.3095023966001389,0.6138132087004176
bang,0.3095023966001389,0.6138132087004176
hetzelfde,0.3095023966001389,0.6138132087004176
blij,0.3095023966001389,0.3728057878990625
jarenlange,0.3095023966001389,0.3728057878990625
slim,0.3789797434167624,-3.006886092871129
crimineel,0.3789797434167624,0.3728057878990625
open,0.3789797434167624,0.3728057878990625
duidelijk,0.3789797434167624,0.5120604121265517
jaarlang,0.3789797434167624,0.4831555654120852
hard,0.3789797434167624,0.5120604121265517
bewust,0.4196773941414178,0.663513714346963
voormalig,0.4196773941414178,0.6225824718895893
voorzichtig,0.4196773941414178,0.4424218992185776
verkeerd,0.4196773941414178,0.5528140051800833
eerder,0.4196773941414178,0.7735722491169419
echt,0.4196773941414178,0.4831555654120852
vol,0.4485722636266149,0.3728057878990625
ingewikkeld,0.4485722636266149,-0.5458705510586807
eindelijk,0.4485722636266149,0.6225824718895893
briljant,0.4686656712159274,-0.1485975836950833
gevaarlijk,0.4709980897663138,0.6530064049992619
meedogenloos,0.4709980897663138,0.3728057878990625
complex,0.4709980897663138,0.3728057878990625
bezig,0.4709980897663138,0.7897817401877713
lang,0.4893321335053697,0.5120604121265517
aanvankelijk,0.4893321335053697,0.3728057878990625
klaar,0.5048427167197569,0.5817493075278956
zeker,0.5182869283373761,0.5528140051800833
ver,0.5301530852266858,3.517256696250665
zoek,0.5503892044119197,1.4662909995987334
wanhopig,0.5591725003256229,0.3728057878990625
graaft,0.5672577788321204,0.4424218992185776
dicht,0.5944004232155946,-0.1485975836950833
laat,0.6736909371842564,3.641358568748272
langzaam,1.0092510645349062,0.4831555654120852
bekend,1.4465523155548303,2.2189013366517667
dichter,2.0109107383319214,0.5683157923877695
plotseling,2.306917047420255,0.7153175774324944
snel,4.040614667694089,3.9283450157042017
diep,5.208873284173311,0.7186555394244942
