Adjective,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
knappe,-10.292177279031174,-1.0073763099578448
genaamd,-4.901204677342161,-13.843290485891368
historische,-3.756799593565529,-0.7668585071752516
pittoreske,-3.5626353174130827,-0.7668585071752516
prachtige,-3.4078155620550743,9.877459468697724
centraal,-3.239730242440416,-0.9057544432204558
succesvolle,-3.1526213615528755,5.814380108913866
emotionele,-3.104988316456456,0.9377844243624202
eigen,-2.9414871406146843,-0.7372233543562475
professionele,-2.9347146256677816,-0.9464372083687476
onverwachte,-2.7408935260856317,0.9079341482896276
belangrijke,-2.732996133572829,-6.530395654253912
kleine,-2.463034999198208,8.113319301149735
ambitieuze,-2.336080372641405,-6.888111746137664
bijzondere,-2.3158850769028905,-0.876913533860706
freelance,-2.300715677284435,0.9509028647197304
moeilijke,-2.1348913912496754,-0.876913533860706
verder,-2.1107590680200907,7.39382716149577
mysterieus,-2.100914695270151,-0.7668585071752516
gemeen,-2.098200353019952,1.295044844460593
aantrekkelijke,-2.076200961786504,0.9079341482896276
nodig,-2.055509009642814,1.030476552943269
duurzaam,-2.046188150528697,-0.876913533860706
prachtig,-1.866405191943527,0.0073497444421191
scherp,-1.8546744804841109,-0.7668585071752516
diep,-1.8218117488495276,0.9599804134749116
sneller,-1.7812089853976458,-0.876913533860706
sterk,-1.7713618462213532,0.7978539088695388
lege,-1.7632793202026225,0.9079341482896276
anderen,-1.7437462958557293,0.5483316139160858
duurzame,-1.7139177018151848,-8.820443071629082
groots,-1.7131015229968545,-10.115849677266908
mooi,-1.6865101147446602,-0.928137864298069
mooiste,-1.6362163483716936,7.622298178671032
bijzonder,-1.6273645570008202,0.5483316139160858
speciale,-1.597715796642991,-0.7668585071752516
geheimzinnige,-1.5647329985828164,6.99884820833113
hoge,-1.551009748714672,0.9092621405203082
morele,-1.499427659224739,-0.7668585071752516
bijzonders,-1.467135269064004,0.7978539088695388
lang,-1.4035102206215246,6.471293763271725
moois,-1.401603331922696,0.9367861377393796
dicht,-1.3918241640816758,0.7978539088695388
vol,-1.3797299132712466,6.954348813169514
sterke,-1.3295311603145066,-8.65559680238445
eerder,-1.3124365478323323,0.920522553731624
tweede,-1.239224689525073,0.9079341482896276
innovatief,-1.154108422907816,-0.7668585071752516
drukke,-1.1445929823164598,4.117490500123024
klein,-1.1092682243912124,-10.733583964134986
mooie,-1.071243852777214,4.940179653666554
zware,-1.0576666202877707,0.7978539088695388
tragische,-1.0551216907944776,0.7978539088695388
recent,-1.0369342688765206,-0.876913533860706
lokale,-1.028734298892751,1.6536847769268996
menselijke,-1.019978809177852,-2.198842688979232
zacht,-1.0034527045530903,-0.876913533860706
onvergetelijk,-0.9993025782353592,-0.7668585071752516
juiste,-0.9849237267794184,0.6937755129598064
verantwoordelijk,-0.96983363811945,-0.9619183726369692
amsterdamse,-0.9395459831501672,0.5483316139160858
cruciaal,-0.9395459831501672,-0.7668585071752516
gezellige,-0.9275490564277794,3.46554827172226
aandachtig,-0.8997756489832178,-0.876913533860706
gefocust,-0.8811990688219445,1.5272424743304969
trots,-0.854368219491102,9.295250343130276
ongeëvenaard,-0.854368219491102,-2.198842688979232
luxueus,-0.8157088285768411,-0.876913533860706
betekenisvolle,-0.8157088285768411,0.7978539088695388
oud,-0.7887236527114014,0.9509028647197304
complexe,-0.735637271735585,-0.7668585071752516
afgelegen,-0.7244607783434628,8.503077372439979
literair,-0.6968074146383598,-0.8032499173146282
bloot,-0.6961134713952856,5.434666142554019
mooier,-0.6669285613983224,-0.8362857056331702
fantastische,-0.6636681640891968,-0.7668585071752516
dolgelukkig,-0.6636681640891968,-0.876913533860706
wraakzuchtige,-0.6636681640891968,-0.7668585071752516
leuk,-0.6636681640891968,1.0987367617014527
mystieke,-0.6636681640891968,-0.9057544432204558
journalistieke,-0.6636681640891968,-0.7668585071752516
instinctief,-0.6636681640891968,-0.7668585071752516
vastbesloten,-0.6169295753383183,-11.83566564277903
gezamenlijke,-0.6107752653085565,5.505168022998181
enige,-0.6107752653085565,0.9079341482896276
verbijsterd,-0.5818810994473314,-0.876913533860706
annas,-0.5818810994473314,0.7978539088695388
onafhankelijke,-0.576448283974276,-0.928137864298069
blij,-0.576448283974276,13.894302445371135
spannend,-0.576448283974276,1.2032279343459842
sociale,-0.576448283974276,0.9079341482896276
drukker,-0.541117586648952,0.9079341482896276
grotere,-0.541117586648952,-7.534313646896035
sceptisch,-0.541117586648952,5.501204885045822
lenas,-0.541117586648952,-0.9057544432204558
lieve,-0.541117586648952,-0.876913533860706
lilys,-0.541117586648952,1.4076119293485274
