Verbs,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
zoeken,-7.23960000261354,-9.2752881083689
ontdekken,-4.310487036326359,-3.43502831060812
specialiseren,-4.024205141261487,-12.93874145947808
talenteren,-3.582305267712776,-12.31080945280188
herstellen,-2.800537838966493,0.3820549386749156
leiden,-2.594000103990059,0.4515292927121445
kloppen,-2.538005201369191,0.3126307679509382
stellen,-2.431112059850347,0.2884231584326102
maken,-2.2214310553469625,4.909456528654552
weerspiegelen,-2.0312405792943604,-0.6059166729007491
confronteren,-1.9670718758745367,0.422694187099645
streven,-1.9232003725080984,0.422694187099645
hebben,-1.873041112204224,8.078787326625386
zitten,-1.8474461605513848,3.0688145151049757
wonen,-1.817536857077016,0.7633500670149365
inspecteren,-1.7940545336581368,0.3126307679509382
genoot,-1.7940545336581368,0.3820549386749156
wandelen,-1.684489326464385,0.7470508357778212
volgen,-1.6116751878037785,-8.379987509416095
merken,-1.5090622281287462,0.5965617229957978
zorgen,-1.3598637934973885,-0.9064191720504464
opbouwen,-1.3598637934973885,-2.062268022167437
aarzelen,-1.3598637934973885,0.3126307679509382
beloven,-1.3598637934973885,-0.0850470483003832
verzorgen,-1.3598637934973885,0.3820549386749156
trekken,-1.2418375740342231,0.4738947770481579
restaureren,-1.190669893772028,0.3126307679509382
vragen,-1.190669893772028,-5.106199852242015
worstelen,-1.1768866327039729,-0.139324595610595
nemen,-1.082776040068182,2.6895756434757168
proberen,-1.0748889607151526,0.6986519537802576
plaatsvinden,-0.9725949584302314,0.4515292927121445
combineren,-0.9725949584302314,-0.6059166729007491
renoveren,-0.9725949584302314,0.3126307679509382
verwezenlijken,-0.9725949584302314,0.6897088077141439
runen,-0.9725949584302314,-0.7868439757081037
vechten,-0.9725949584302314,-0.7170145111086001
vallen,-0.9577383244487694,0.7028432199899957
meenemen,-0.8962068316434758,0.3820549386749156
doorbrengen,-0.8962068316434758,0.4515292927121445
dragen,-0.8775484369088007,0.3820549386749156
zetten,-0.8775484369088007,-0.0850470483003832
handelen,-0.6891608743036829,0.3126307679509382
vervullen,-0.6891608743036829,0.3126307679509382
zeggen,-0.6891608743036829,2.208331434337283
voorbereiden,-0.6891608743036829,0.3126307679509382
vermengen,-0.6891608743036829,0.3126307679509382
bekendstaan,-0.6891608743036829,-0.3318882922017423
vliegen,-0.6891608743036829,0.3126307679509382
oppakken,-0.6891608743036829,0.3126307679509382
fascineren,-0.688117274015536,0.9162568796905493
stuiten,-0.6327155855019545,0.3820549386749156
buigen,-0.6315826710829802,0.3126307679509382
staan,-0.6292551033012318,-1.0330393246407712
aannemen,-0.6258403251925057,0.422694187099645
nastreven,-0.6258403251925057,0.3820549386749156
vasthouden,-0.6258403251925057,0.3126307679509382
raken,-0.6081868171487259,0.5210010939860997
reizen,-0.6009550241103253,-0.6440742187566187
eisen,-0.555769602969216,0.3126307679509382
opgaan,-0.555769602969216,0.3126307679509382
toenemen,-0.555769602969216,0.3126307679509382
riskeren,-0.555769602969216,0.3126307679509382
verwerven,-0.555769602969216,0.3126307679509382
ging,-0.555769602969216,0.3820549386749156
treffen,-0.555769602969216,0.5762720325683754
ontmoedigen,-0.555769602969216,0.3126307679509382
doorbrachen,-0.555769602969216,0.3126307679509382
bezighouden,-0.555769602969216,0.3126307679509382
bewandelen,-0.555769602969216,0.3126307679509382
behandelen,-0.555769602969216,0.3126307679509382
zat,-0.555769602969216,0.3126307679509382
bedoelen,-0.555769602969216,0.3126307679509382
deelnemen,-0.555769602969216,0.5770948572298874
domineren,-0.555769602969216,-0.6059166729007491
voelen,-0.3373099980979971,-0.6993654725902191
ontsnappen,-0.3228793285304557,0.422694187099645
leggen,-0.3228793285304557,0.5696654926729827
las,-0.3228793285304557,0.5616416584726405
zijn,-0.3140128028174529,-11.806640035102474
leven,-0.2668967618721896,0.635246275969344
leren,-0.2668967618721896,0.3360209678745701
gaan,-0.2381961960489819,4.661072072348316
liep,-0.230685753102404,0.4515292927121445
tonen,-0.230685753102404,0.5210010939860997
sturen,-0.230685753102404,0.3820549386749156
bekeek,-0.230685753102404,0.422694187099645
voltooien,-0.230685753102404,-1.4508694767472303
stromen,-0.230685753102404,0.3126307679509382
bevatten,-0.230685753102404,0.3126307679509382
opkomen,-0.230685753102404,0.3126307679509382
zet,-0.1802512720986129,0.3820549386749156
helpen,-0.0926092887410037,-8.270138681874643
leeft,-0.0672616412632642,-0.7170145111086001
beschermen,-0.0672616412632642,0.4515292927121445
drijven,-0.0582117010053027,0.3126307679509382
bewegen,0.0138697620712695,0.3820549386749156
gebruiken,0.069822749480718,-8.16618605847423
nspireren,0.1066859375080441,0.716279520006797
bedekken,0.1066859375080441,0.3126307679509382
duikt,0.1066859375080441,0.3820549386749156
vertellen,0.1547216244433003,-7.839217066651456
houden,0.1547216244433003,0.7897946832091906
ervaren,0.2217582624798899,-0.3318882922017423
vullen,0.2380538774429059,0.3820549386749156
doen,0.3502271721521152,0.2620939894383915
opmerken,0.3502271721521152,0.422694187099645
dwalen,0.3502271721521152,0.3126307679509382
geven,0.3502271721521152,-3.698107037564487
adviseren,0.3628046044715031,-0.6059166729007491
aantrekken,0.3628046044715031,-1.773031553273872
opofferen,0.3628046044715031,0.422694187099645
optreden,0.3628046044715031,-0.3318882922017423
organiseren,0.3628046044715031,0.4515292927121445
steken,0.3628046044715031,0.3820549386749156
ontwaken,0.3628046044715031,0.3820549386749156
verbeteren,0.3628046044715031,0.6942793168391375
stralen,0.3628046044715031,0.3126307679509382
stelen,0.3628046044715031,-0.6059166729007491
stemde,0.3628046044715031,-8.248666073570952
vloeien,0.3628046044715031,0.3126307679509382
beschouwen,0.3628046044715031,0.3820549386749156
beseft,0.3628046044715031,-0.6059166729007491
volbrengen,0.3628046044715031,0.3820549386749156
serveren,0.3628046044715031,0.3126307679509382
serveeren,0.3628046044715031,0.3126307679509382
richten,0.3628046044715031,-0.0850470483003832
afwenden,0.3628046044715031,0.3126307679509382
afzetten,0.3628046044715031,0.3126307679509382
rijden,0.3628046044715031,0.3820549386749156
schudde,0.3628046044715031,0.3126307679509382
toegewijden,0.3628046044715031,0.3126307679509382
praten,0.3628046044715031,-0.6059166729007491
begroeten,0.3628046044715031,0.3126307679509382
passen,0.3628046044715031,0.422694187099645
beheersen,0.3628046044715031,0.3126307679509382
zette,0.3628046044715031,0.3820549386749156
reageren,0.3628046044715031,-0.6059166729007491
vervangen,0.3628046044715031,0.3126307679509382
hoeven,0.3628046044715031,0.3126307679509382
herkennen,0.3628046044715031,-0.6760959208757621
heersen,0.3628046044715031,-0.6059166729007491
vorderen,0.3628046044715031,0.3126307679509382
groeien,0.3628046044715031,-4.628221216175929
ingaan,0.3628046044715031,0.3126307679509382
bezoeken,0.3628046044715031,0.3820549386749156
besteeden,0.3628046044715031,0.6873435613291263
erkennen,0.3628046044715031,0.3820549386749156
erd,0.3628046044715031,0.4515292927121445
eindigen,0.3628046044715031,0.68492156534788
gewaagd,0.3628046044715031,0.4515292927121445
breken,0.3628046044715031,0.3820549386749156
koesteren,0.3628046044715031,0.3126307679509382
nalaten,0.3628046044715031,0.3126307679509382
naderen,0.3628046044715031,0.422694187099645
nadenken,0.3628046044715031,0.3126307679509382
missen,0.3628046044715031,-0.6440742187566187
neemt,0.3628046044715031,-0.6059166729007491
ontbreken,0.3628046044715031,0.422694187099645
vergeet,0.3628046044715031,0.5696654926729827
verlopen,0.3628046044715031,-0.6059166729007491
vermaken,0.3628046044715031,0.3126307679509382
loslaten,0.3628046044715031,0.3126307679509382
lofen,0.3628046044715031,0.3126307679509382
verschijnen,0.3628046044715031,0.422694187099645
liepen,0.3628046044715031,0.3126307679509382
waarmaken,0.3628046044715031,-0.6059166729007491
lachen,0.3628046044715031,0.3820549386749156
maakt,0.3628046044715031,-0.6059166729007491
verbergen,0.3643643602176023,-0.6760959208757621
kiezen,0.3680615638335227,1.4328781208362478
beleven,0.3680615638335227,0.4738947770481579
stoppen,0.3680615638335227,0.7248905239695099
slaan,0.3680615638335227,0.422694187099645
brengen,0.3712771113182372,1.3735217441563785
veranderen,0.4190304836071578,0.5529197367764888
voorspellen,0.4323642187345841,0.3126307679509382
zeiden,0.4323642187345841,0.3820549386749156
wachten,0.4323642187345841,0.6501421186911155
veroveren,0.4323642187345841,0.6873435613291263
uitvoeren,0.4323642187345841,0.3126307679509382
verrassen,0.4323642187345841,0.422694187099645
vervolgen,0.4323642187345841,0.3820549386749156
voortzetten,0.4323642187345841,0.3820549386749156
vertrouwen,0.4323642187345841,0.422694187099645
uitnodigen,0.4323642187345841,-0.6440742187566187
beschrijven,0.4323642187345841,0.5328061313132049
overhandigen,0.4323642187345841,-0.6059166729007491
inspireren,0.4323642187345841,-0.0850470483003832
onderhouden,0.4323642187345841,0.3126307679509382
nadacht,0.4323642187345841,0.3820549386749156
meedragen,0.4323642187345841,0.3126307679509382
manipuleren,0.4323642187345841,0.3126307679509382
luistren,0.4323642187345841,-2.506116552380716
ontstaan,0.4323642187345841,-0.0850470483003832
aankijken,0.4323642187345841,0.3126307679509382
doorgaan,0.4323642187345841,0.4738947770481579
drukken,0.4323642187345841,0.3820549386749156
scheppen,0.4323642187345841,-1.0473725355952168
respecteren,0.4323642187345841,0.6268801723647978
begrijpen,0.4323642187345841,-5.020670083584775
begeven,0.4323642187345841,0.3820549386749156
prijzen,0.4323642187345841,-1.0473725355952168
krijgen,0.4468441445342925,-2.439923740157087
halen,0.4730575352766684,0.3126307679509382
verlaten,0.4730575352766684,0.6817832167163872
vertrekken,0.4730575352766684,-1.1085632165976431
delen,0.4730575352766684,1.7526064272674802
jagen,0.4730575352766684,0.3126307679509382
experimenteren,0.4730575352766684,0.4738947770481579
gebeuren,0.4730575352766684,0.4921681637350751
keren,0.4730575352766684,0.3126307679509382
kopen,0.4730575352766684,2.3137557118861265
doorbreken,0.4730575352766684,0.3126307679509382
bewondren,0.4730575352766684,0.3126307679509382
samenvoegen,0.4730575352766684,-0.6059166729007491
afvragen,0.4730575352766684,0.6077157945839443
pakken,0.4730575352766684,0.6177541448172164
winnen,0.4730575352766684,-3.069619024623979
schrijven,0.4730575352766684,4.1238866153227205
aankomen,0.4730575352766684,0.422694187099645
betreden,0.4730575352766684,0.3126307679509382
betrekken,0.4730575352766684,0.3820549386749156
stijgen,0.4730575352766684,0.3126307679509382
waaien,0.4730575352766684,0.3820549386749156
verdienen,0.4730575352766684,0.5210010939860997
presenteren,0.5019261027908818,0.3126307679509382
hielp,0.5019261027908818,0.3820549386749156
denken,0.5019261027908818,2.112947399751814
observeren,0.5019261027908818,0.4738947770481579
verdwijnen,0.5019261027908818,0.1014436041245173
bestaan,0.5019261027908818,-2.506116552380716
aangaan,0.5019261027908818,0.3126307679509382
verzamelen,0.5019261027908818,0.3126307679509382
mengen,0.5019261027908818,0.3126307679509382
lijken,0.5106065315188206,-4.424271270940333
ontwikkelen,0.5243167660796494,0.4738947770481579
sluiten,0.5243167660796494,0.4921681637350751
verlangen,0.5243167660796494,0.3820549386749156
onderzoeken,0.5245418229683751,0.3126307679509382
terugvinden,0.5245418229683751,2.851910840827827
spreken,0.5426111804074508,-1.0473725355952168
dromen,0.5426111804074508,0.3126307679509382
hopen,0.5426111804074508,0.5770948572298874
bouwen,0.5426111804074508,1.1887019609476217
verbazen,0.5426111804074508,0.4515292927121445
vormen,0.55807955714805,0.3126307679509382
blijken,0.55807955714805,-1.175007678551517
verbinden,0.55807955714805,0.3126307679509382
kennen,0.55807955714805,-0.671427282264218
ontvangen,0.5714799320032402,0.7312886138806215
bieden,0.580023866535626,-1.175007678551517
betekenen,0.580023866535626,-1.0473725355952168
behouden,0.580023866535626,0.3126307679509382
opgeven,0.580023866535626,0.4921681637350751
overwinnen,0.580023866535626,0.3820549386749156
redden,0.580023866535626,0.5076178875583428
genieten,0.580023866535626,0.7068676351976177
beslissen,0.5833011486108458,0.3820549386749156
obsederen,0.5833011486108458,0.3126307679509382
omarmen,0.5938769199725265,-0.3318882922017423
verkennen,0.5938769199725265,0.3126307679509382
geloven,0.6034452273772196,0.6311502059680367
lezen,0.6121817590628963,0.422694187099645
oplossen,0.6254520063135796,0.7126191104519467
slagen,0.6410790003553304,-0.2719039651179335
omringen,0.6444101226724424,0.3126307679509382
spelen,0.6529169497796183,0.3820549386749156
worden,0.681598769043349,2.850759849703976
draaien,0.757742986428096,-1.0473725355952168
kijken,0.757742986428096,1.1233879346419706
droomen,0.757742986428096,0.3820549386749156
ontwerpen,0.774847895097969,-2.2321604001161743
bracht,0.8243729084354845,0.3820549386749156
schilderen,0.8243729084354845,5.184717303434559
zien,0.8732560963498845,2.100723222722574
vergeten,0.8970355266684227,-0.6440742187566187
willen,0.9104771922321128,-5.217125977289468
twijfelen,0.9680114680587476,0.5433664149885188
blijven,0.9753789289722168,0.8511868346556903
stappen,1.0442374249002004,0.4738947770481579
ren,1.0442374249002004,0.6920199148003904
beseven,1.0442374249002004,0.4738947770481579
verdiepen,1.1631279096603633,-1.0473725355952168
vastberaden,1.2917723509082275,0.3126307679509382
ontrafelen,1.325038929572527,0.3126307679509382
horen,1.3672012189968397,-0.7305897610939115
bevinden,1.456150975336643,0.422694187099645
uitmaken,1.456150975336643,0.422694187099645
bereiken,1.456150975336643,0.7007693081833278
onthullen,1.4809766040271444,0.4515292927121445
lopen,1.5569882541984876,0.5328061313132049
dwingen,1.6491642242819369,-0.6059166729007491
ontmoeten,1.7516029515093632,-1.3269361156653798
laten,1.862079649361676,1.635942059777009
komen,1.871427067614937,3.9539203881238
terugkeren,1.928760641424328,0.4738947770481579
verliezen,2.0369990604193955,-0.9124206565585392
liggen,2.08716709148799,0.6128602894472057
realiseren,2.1229778412694373,-3.493306764200649
wijden,2.126050507909173,0.5068302558271891
besluiten,2.208811729449703,4.395505826954724
openen,2.208811729449703,0.2965141909107783
beseffen,2.400751106979997,0.4921681637350751
beginnen,3.0575221296199184,5.9251606326248165
weten,3.139151885129943,3.909576538987606
vinden,3.631378326175063,4.951258200563947
