Verb,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
talenteren,-5.186968655012236,-5.601580394769368
specialiseren,-4.325252483633342,-5.900810216761971
stellen,-4.0158657315798765,-0.9874533169401092
vertellen,-2.6599679421132225,-4.408779404311058
blijken,-2.60020904041816,-0.6332098452557
ontstaan,-2.4823899266120577,0.2334294439303728
delen,-2.465820101454911,0.1150252865501898
helpen,-2.267107001163847,-9.873977697132728
staaren,-2.2147241535961526,0.7168788218227726
ontmoeten,-2.0791841008522347,1.9708127906840611
ingehuurd,-2.077888691035868,0.3026590545657818
leiden,-2.0093704816485705,0.4126383691480732
geven,-1.9819449513943452,1.8367559385012109
trekken,-1.9819449513943452,-1.625988346457021
focusten,-1.91020044383985,0.5705438137382167
vrezen,-1.91020044383985,0.2334294439303728
hebben,-1.8694261660356013,3.504553266569228
genoot,-1.7490895984961337,1.9417201384963267
beloven,-1.6556650520419527,0.3943788608661931
stemde,-1.6556650520419527,-9.04811717591839
zitten,-1.6333474957961374,2.355467429772169
doorbrengen,-1.5640917029767736,0.2334294439303728
raken,-1.5270097059501582,0.4280779709091539
begrijpen,-1.4692483067408313,-3.814968580581135
dragen,-1.4692483067408313,0.3026590545657818
luistren,-1.4692483067408313,-0.8004460232795503
smeeken,-1.4692483067408313,0.3026590545657818
terugkomen,-1.4692483067408313,-1.6133531810046635
bedanken,-1.4692483067408313,-1.6133531810046635
praten,-1.4692483067408313,-4.14203944104167
dobrenorn,-1.3544725855997477,-0.755594382280287
verwikkelen,-1.3544725855997477,0.3026590545657818
oplopen,-1.3158556730688742,0.3432322356097857
ervaren,-1.1149805768331065,0.5109047230400108
terugtrekken,-1.106323301718097,0.4280779709091539
beleven,-1.106323301718097,0.3720338163785795
genieten,-1.084763160279728,-1.1256560285137736
vragen,-1.0712638354126038,-0.8230288924802052
pakken,-1.0712638354126038,0.4900952466530229
keek,-1.0712638354126038,0.4900952466530229
worstelen,-1.0377918707403515,-2.6030379368943017
vallen,-0.8941033901942861,-0.0641097732385617
kijken,-0.8851032916134892,-1.8188240328387613
wonen,-0.8708916524307658,-0.3122145851592709
zeggen,-0.8146232285796426,-2.708542846787041
kloppen,-0.8146232285796426,0.441453406006875
sturen,-0.7838661147045157,-0.7966305713059303
toegeven,-0.7838661147045157,0.2334294439303728
terugvinden,-0.7838661147045157,-1.6133531810046635
bevatten,-0.7838661147045157,0.2334294439303728
vermissen,-0.7838661147045157,0.3026590545657818
beschuldigen,-0.7838661147045157,0.3026590545657818
ging,-0.7838661147045157,0.3720338163785795
riskeren,-0.7838661147045157,0.522711307210355
inroepen,-0.7838661147045157,0.6002870556541484
zat,-0.7838661147045157,0.3720338163785795
afhouden,-0.7838661147045157,0.3026590545657818
wekken,-0.7679292600531673,0.2334294439303728
meenemen,-0.7679292600531673,0.4280779709091539
reizen,-0.7679292600531673,0.6527891224110955
zorgen,-0.6800673949124263,0.3943788608661931
behandelen,-0.6800673949124263,0.2334294439303728
bewegen,-0.672963790349338,0.3432322356097857
groeien,-0.672963790349338,-3.943384474183723
afronden,-0.639150478612437,-4.406238622417374
doorbrachen,-0.639150478612437,0.2334294439303728
heten,-0.639150478612437,-6.707775428653823
glimlachen,-0.639150478612437,-0.6851691218275324
schilderen,-0.5832249826605423,-2.1959179777525613
fluisteren,-0.5832249826605423,0.441453406006875
plaatsvinden,-0.5690328271766126,0.441453406006875
rennen,-0.5690328271766126,0.3026590545657818
legde,-0.5690328271766126,0.3720338163785795
eten,-0.5690328271766126,0.3026590545657818
treffen,-0.5690328271766126,-1.2970768586304162
eisen,-0.5690328271766126,0.2334294439303728
verstoppen,-0.5690328271766126,0.3432322356097857
aansluiten,-0.5690328271766126,0.3026590545657818
ontdeken,-0.5690328271766126,0.2334294439303728
observeren,-0.5690328271766126,0.3720338163785795
bedoelen,-0.5690328271766126,0.2334294439303728
bloemi,-0.5690328271766126,-0.6851691218275324
verhuizen,-0.5690328271766126,0.2334294439303728
vermengen,-0.5690328271766126,0.2334294439303728
parkeren,-0.5690328271766126,0.2334294439303728
voelen,-0.5643265129439706,-8.780560009577982
fascineren,-0.4893779850782018,-2.3909900732756184
inspireren,-0.47718858077904,-0.8957734210486604
verlaten,-0.47718858077904,0.199442179730883
opbouwen,-0.47718858077904,-0.179632027599352
spelen,-0.47718858077904,-1.276687213548347
verrassen,-0.47718858077904,-2.925675003758916
samenwerken,-0.47718858077904,0.3026590545657818
hopen,-0.47718858077904,0.3432322356097857
brengen,-0.4222582567405819,1.499055965391777
bezitten,-0.3399362295046887,0.3026590545657818
aannemen,-0.3399362295046887,0.2334294439303728
verstpen,-0.3399362295046887,0.2334294439303728
kiezen,-0.3399362295046887,0.6798797848618121
tonen,-0.3399362295046887,-1.276687213548347
slaan,-0.3399362295046887,-0.3122145851592709
behouden,-0.3399362295046887,0.2334294439303728
bekeek,-0.3399362295046887,0.2334294439303728
kopen,-0.3399362295046887,0.3432322356097857
zetten,-0.2829671202477091,0.4900952466530229
zijn,-0.2386300875339993,0.5804234816355588
winnen,-0.2269627965242925,-3.682585798873992
stuiten,-0.2113992385481776,0.3432322356097857
ontwerpen,-0.1590923530688879,1.2866366190347172
horen,-0.1159816556806952,0.0745324437033299
leren,-0.0107277026895165,-0.2601468442399996
voltooien,-0.0091754536891345,0.3943788608661931
overwinnen,-0.0091754536891345,0.3026590545657818
negeren,-0.0091754536891345,0.3432322356097857
vertrouwen,-0.0091754536891345,0.4280779709091539
bewonderen,-0.0089025579611707,0.3026590545657818
komen,0.0483910739276524,-0.0521516029236103
willen,0.1511402470509908,-1.1221970398449526
vinden,0.1630633108743315,3.230502814925179
las,0.1836203324997648,0.4638074204144216
bieden,0.1836203324997648,-1.2970768586304162
stappen,0.1836203324997648,0.4280779709091539
