Adjectives,Fightin_Word_Score_GPT,Fightin_Word_Score_LLAMA
ambitieus,-2.292011682031096,-5.182146062839501
freelance,-1.4041990744582646,-1.3601561188671678
bezig,-1.086023806623598,0.743654219360231
dagelijks,-0.6907936897175043,0.5160869196058803
prachtig,-0.6907936897175043,0.6084072424034583
oud,-0.5446267027125337,0.4462422643210475
waar,-0.5446267027125337,-0.7145647132563586
talentvol,-0.4884998483763136,-0.5832722240196319
geliefd,-0.4745689985821667,-0.5423925571547966
mooi,-0.4745689985821667,0.6084072424034583
perfect,-0.4745689985821667,-0.7390854837449432
scherp,-0.4745689985821667,-0.4724689706583105
vrouwelijk,-0.4745689985821667,-0.9546719033829684
duurzaam,-0.4745689985821667,-0.6733212837664103
bijzonder,-0.4745689985821667,0.5160869196058803
modern,-0.414380864761434,0.2995405000406732
professioneel,-0.266340364501352,0.4462422643210475
crẹ,-0.1526035521267087,-0.0937004413881999
vaak,-0.1079256973932651,0.6267969544077501
creatief,-0.1079256973932651,-3.2925405801812646
vastbesloten,0.1072524745176407,0.6784172423412734
uniek,0.2785417719061212,0.5160869196058803
eigen,0.4414686354487622,-1.3601561188671678
uiterst,0.4443785198849086,0.4462422643210475
voormalig,0.4443785198849086,0.5160869196058803
eigenlijk,0.4443785198849086,-0.5423925571547966
verliefd,0.4443785198849086,1.1228888742532337
aanvankelijk,0.4443785198849086,0.4462422643210475
levendig,0.4443785198849086,0.7195593987113712
enthousiast,0.4443785198849086,0.5569301473390464
eenzaam,0.4443785198849086,-1.0663629909629395
zeker,0.4443785198849086,0.5160869196058803
gewoon,0.4443785198849086,0.5160869196058803
lang,0.4443785198849086,1.1228888742532337
zoek,0.4443785198849086,0.9426099167629411
laat,0.4443785198849086,0.2063731457237208
klein,0.4443785198849086,-0.1621202520042173
eindelijk,0.514327316761297,0.7323050188893613
constant,0.514327316761297,0.5160869196058803
eigenzinnig,0.5552782360997287,-0.4724689706583105
dicht,0.5552782360997287,0.4462422643210475
succesvol,0.5686069836633825,-7.159136439585124
dichter,0.5843714214583322,0.6084072424034583
plotseling,0.6254734714156188,0.5859144804782037
briljant,0.6411437922297056,0.4569874797667236
diep,0.7846310539340723,0.743654219360231
architecturaal,1.1078544846841512,-0.7234025711286981
charmant,1.7473769719897048,-0.5832722240196319
bekend,2.352363423263344,4.702494086710167
snel,3.7371873611472752,3.620318657903197
