werken,-9.743557680929602
talenteren,-5.186968655012236
specialiseren,-4.325252483633342
stellen,-4.0158657315798765
passioneren,-3.445840082553824
ontdekken,-3.1288245968102446
vertellen,-2.6599679421132225
blijken,-2.60020904041816
ontstaan,-2.4823899266120577
delen,-2.465820101454911
inhuuren,-2.4183805509715386
helpen,-2.267107001163847
restaureren,-2.231357045449161
aarzelen,-2.231357045449161
bedrijven,-2.231357045449161
renoveren,-2.2147309387817686
staaren,-2.2147241535961526
ontmoeten,-2.0791841008522347
ingehuurd,-2.0778886910358674
beweren,-2.0778886910358674
leiden,-2.0093704816485705
geven,-1.9819449513943455
weerspiegelen,-1.9819449513943455
trekken,-1.9819449513943455
transformeren,-1.91020044383985
focusten,-1.91020044383985
vrezen,-1.91020044383985
vereisen,-1.91020044383985
hebben,-1.8694261660356015
genoot,-1.7490895984961337
opbloeien,-1.7365282124412116
beloven,-1.6556650520419527
stemde,-1.6556650520419527
zitten,-1.6333474957961374
doorbrengen,-1.5640917029767736
betoveren,-1.5640917029767736
fluistren,-1.5640917029767736
raken,-1.5270097059501582
herstellen,-1.5254807271756472
begrijpen,-1.4692483067408313
dwaalen,-1.4692483067408313
dragen,-1.4692483067408313
luistren,-1.4692483067408313
opstaan,-1.4692483067408313
smeeken,-1.4692483067408313
schatt,-1.4692483067408313
terugkomen,-1.4692483067408313
bedanken,-1.4692483067408313
praten,-1.4692483067408313
inspecteren,-1.3544725855997475
dobrenorn,-1.3544725855997475
verwikkelen,-1.3544725855997475
bestuderen,-1.3290304439376135
oplopen,-1.3158556730688742
meedragen,-1.3139659048606123
ervaren,-1.1149805768331065
terugtrekken,-1.1063233017180967
beleven,-1.1063233017180967
opruimen,-1.1063233017180967
glimlachte,-1.1063233017180967
achterliet,-1.1063233017180967
genieten,-1.0847631602797279
bloeien,-1.0847631602797279
vragen,-1.0712638354126038
pakken,-1.0712638354126038
keek,-1.0712638354126038
worstelen,-1.0377918707403517
vallen,-0.8941033901942861
kijken,-0.8851032916134892
wonen,-0.8708916524307658
zeggen,-0.8146232285796426
kloppen,-0.8146232285796426
parelden,-0.7838661147045157
dalen,-0.7838661147045157
sturen,-0.7838661147045157
dansten,-0.7838661147045157
toegeven,-0.7838661147045157
verwerken,-0.7838661147045157
terugvinden,-0.7838661147045157
bevatten,-0.7838661147045157
vervullen,-0.7838661147045157
vermissen,-0.7838661147045157
uitkijken,-0.7838661147045157
dwaalde,-0.7838661147045157
beschuldigen,-0.7838661147045157
binden,-0.7838661147045157
verstrijken,-0.7838661147045157
meejagen,-0.7838661147045157
verspreiden,-0.7838661147045157
deelde,-0.7838661147045157
ging,-0.7838661147045157
stapte,-0.7838661147045157
waarschuwen,-0.7838661147045157
belanden,-0.7838661147045157
riskeren,-0.7838661147045157
strijken,-0.7838661147045157
onthulen,-0.7838661147045157
inroepen,-0.7838661147045157
zat,-0.7838661147045157
rondleiden,-0.7838661147045157
afhouden,-0.7838661147045157
bereid,-0.7838661147045157
liepen,-0.7679292600531673
omgeven,-0.7679292600531673
wekken,-0.7679292600531673
straalen,-0.7679292600531673
reden,-0.7679292600531673
meenemen,-0.7679292600531673
reizen,-0.7679292600531673
toegewijd,-0.6800673949124263
vegen,-0.6800673949124263
aanwakkeren,-0.6800673949124263
zorgen,-0.6800673949124263
belasten,-0.6800673949124263
behandelen,-0.6800673949124263
bewegen,-0.672963790349338
groeien,-0.672963790349338
staarde,-0.639150478612437
architect,-0.639150478612437
knielen,-0.639150478612437
turen,-0.639150478612437
afronden,-0.639150478612437
doorbrachen,-0.639150478612437
heten,-0.639150478612437
glimlachen,-0.639150478612437
nastreven,-0.639150478612437
lichtten,-0.639150478612437
gleed,-0.639150478612437
betovren,-0.639150478612437
verzorgen,-0.639150478612437
schilderen,-0.5832249826605423
buigen,-0.5832249826605423
fluisteren,-0.5832249826605423
liefkozen,-0.5690328271766126
vasthiellen,-0.5690328271766126
strijden,-0.5690328271766126
vastgeklemmen,-0.5690328271766126
leunen,-0.5690328271766126
smeekken,-0.5690328271766126
droomgen,-0.5690328271766126
droomlen,-0.5690328271766126
rondgelopen,-0.5690328271766126
kruipen,-0.5690328271766126
vastlegen,-0.5690328271766126
gevierd,-0.5690328271766126
gevierde,-0.5690328271766126
veranderenlily,-0.5690328271766126
invangen,-0.5690328271766126
plaatsvinden,-0.5690328271766126
schuifelen,-0.5690328271766126
gewild,-0.5690328271766126
komt,-0.5690328271766126
surfen,-0.5690328271766126
graafen,-0.5690328271766126
doopen,-0.5690328271766126
scan,-0.5690328271766126
veegen,-0.5690328271766126
proeft,-0.5690328271766126
kwamen,-0.5690328271766126
loslaan,-0.5690328271766126
herontdekt,-0.5690328271766126
lichten,-0.5690328271766126
frustreren,-0.5690328271766126
hielden,-0.5690328271766126
resoneren,-0.5690328271766126
rennen,-0.5690328271766126
huiveren,-0.5690328271766126
teken,-0.5690328271766126
rinkelen,-0.5690328271766126
legde,-0.5690328271766126
sperun,-0.5690328271766126
struinen,-0.5690328271766126
toezwaaien,-0.5690328271766126
hunkeren,-0.5690328271766126
spendeeren,-0.5690328271766126
inadmen,-0.5690328271766126
haarverhaalals,-0.5690328271766126
eten,-0.5690328271766126
treffen,-0.5690328271766126
rivaliseren,-0.5690328271766126
genomenmet,-0.5690328271766126
eisen,-0.5690328271766126
echoot,-0.5690328271766126
dwarrelen,-0.5690328271766126
geraakt,-0.5690328271766126
raakten,-0.5690328271766126
streelen,-0.5690328271766126
gestalkt,-0.5690328271766126
rapen,-0.5690328271766126
toegewijden,-0.5690328271766126
